metric,winner,loser,delta
mfe,-33.29999923706055,-30.100000381469727,-3.1999988555908203
mfe,-33.29999923706055,-26.200000762939453,-7.099998474121094
mfe,-32.599998474121094,-22.100000381469727,-10.499998092651367
mfe,-32.599998474121094,-29.899999618530273,-2.6999988555908203
mfe,-32.599998474121094,-30.100000381469727,-2.499998092651367
mfe,-32.599998474121094,-26.200000762939453,-6.399997711181641
mfe,-32.400001525878906,-22.100000381469727,-10.30000114440918
mfe,-32.400001525878906,-29.899999618530273,-2.500001907348633
mfe,-30.100000381469727,-22.100000381469727,-8.0
mfe,-30.100000381469727,-29.899999618530273,-0.20000076293945312
mfe,-35.900001525878906,-20.899999618530273,-15.000001907348633
mfe,-35.900001525878906,-22.100000381469727,-13.80000114440918
mfe,-35.900001525878906,-29.899999618530273,-6.000001907348633
mfe,-35.900001525878906,-30.100000381469727,-5.80000114440918
mfe,-35.900001525878906,-26.200000762939453,-9.700000762939453
mfe,-26.200000762939453,-22.100000381469727,-4.100000381469727
mfe,-16.799999237060547,-13.100000381469727,-3.6999988555908203
mfe,-9.100000381469727,-4.699999809265137,-4.40000057220459
mfe,-14.899999618530273,-13.100000381469727,-1.7999992370605469
mfe,-14.899999618530273,-4.699999809265137,-10.199999809265137
